sep= 
 ID_CONJUNTO	NOME_CONJUNTO	AGRUPAMENTO	STATUS_DO_EMPREENDIMENTO	STATUS_DA_REGULARIZAÇÃO	UNIDADES_A_INICIAR	UNIDADES_EM_ANDAMENTO	UNIDADES_CONCLUÍDAS	PROGRAMA_E/OU_DEMANDA	PROGRAMA_EXTERNO_E/OU_FONTE_RECURSO	PREVISÃO_ANO_CONCLUSÃO	ANO_PRIMEIRA_ENTREGA_UH	ANO_ÚLTIMA_ENTREGA_UH	COD_FAIXA_RENDA_MCMV_CH	
"359"	"Edifício Quaresmeira - Bloco 8"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"361"	"Edifício Sálvia - Bloco 10"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"357"	"Edifício Urucum - Bloco 6"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"356"	"Edifício Violeta - Bloco 2"	"27"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"196"	"Empreendimento Binário"	""	"Obra concluída"	""	""	""	"8"	"OP"	"PBH"	""	"2015"	"2015"	""
"400"	"Esmeralda I (Bloco 1  )"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"106"	"Esmeralda II (Bloco 2)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"339"	"Esperança (São João L23)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"192"	"Faisão (Conjunto 1)"	"16"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"263"	"Falgo"	""	"Em estudo"	""	"1080"	""	""	"MCMV"	""	"2021"	""	""	"15"
"35"	"Fazenda Capitão Eduardo"	""	"Paralisado"	""	"5000"	""	""	"MCMV"	""	""	""	""	""
"315"	"Fazendinha e Esperança (Crear A1-2)"	"28"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"332"	"Getsêmin (São João G7)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"111"	"Gonçalo Laço"	"39"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"OGU"	""	"2009"	"2009"	""
"37"	"Granja Werneck - 1ª Etapa"	""	"Em estudo"	""	"1684"	""	""	"MCMV"	""	""	""	""	"15"
"38"	"Granja Werneck Fx 1 - 2ª Etapa"	"6"	"Cancelado"	""	""	""	""	"MCMV"	""	""	""	""	""
"39"	"Granja Werneck Fx 2 - 2ª Etapa"	"6"	"Cancelado"	""	""	""	""	"MCMV"	""	""	""	""	""
"397"	"Havaí I"	"37"	"Obra concluída"	""	""	""	"18"	"OPH"	"PBH"	""	"1998"	"1998"	""
"193"	"Havaí II"	"37"	"Obra concluída"	""	""	""	"18"	"OPH"	"PBH"	""	"1998"	"1998"	""
"46"	"Ipiranga"	""	"Obra concluída"	"Obra em andamento"	""	""	"34"	"PEAR -> Desabrigados"	"PBH"	""	"1996"	"1996"	""
"155"	"Jade"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"47"	"Janaúba"	""	"Obra concluída"	""	""	""	"94"	"OP"	"Saneamento Para Todos"	""	"2009"	"2009"	""
"331"	"Jardim das Flores (São João N27)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"371"	"Jardim das Oliveiras (Coronel Jorge Dário 1)"	"26"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"344"	"Jardim das Pitangas (São João I14)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"352"	"Jardim do Passarinho e Vila Fátima (São João K37-38)"	"29"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"200"	"Jardim do Vale Op"	""	"Obra concluída"	""	""	""	"8"	"OP"	"PBH"	"2017"	"2019"	"2019"	""
"223"	"Jardim do Vale PAC"	""	"Obra concluída"	""	""	""	"16"	"PEAR -> Obras"	"OGU; PAC Encostas"	"2017"	""	"2018"	""
"368"	"Jardim Esperança (Coronel Jorge Dário 6)"	"26"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"122"	"Jardim Leblon"	""	"Obra concluída"	""	""	""	"192"	"OPH"	"PSH - Programa de Subsídio Habitacional"	""	"2006"	"2006"	""
"172"	"Jaspe (Bloco 8)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"349"	"Jeová Jhiré (São João J20)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"141"	"Jerusalém e Baleia (Crear D8-9)"	"28"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"142"	"Lírio (Cedro 1)"	"25"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"237"	"Mariano de Abreu"	""	"Em estudo"	""	"32"	""	""	"OP"	"OGU; PAC 2"	"2018"	""	""	""
"313"	"Mata (Crear B4-5)"	"28"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"316"	"Monte Sião (Cardoso 2)"	"30"	"Obra concluída"	""	""	""	"12"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"416"	"Nossa Senhora Aparecida"	""	"Em estudo"	""	"8"	""	""	"OP"	""	""	""	""	""
"209"	"Nova Cachoeirinha - PAC Encostas"	""	"Em estudo"	""	"16"	""	""	"PEAR -> Obras"	"OGU; PAC Encostas"	"2018"	""	""	""
"103"	"Nova Era"	""	"Obra concluída"	""	""	""	"16"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2004"	"2004"	""
"212"	"Novo Ouro Preto"	""	"Cancelado"	""	""	""	""	"OP"	"PBH"	""	""	""	""
"153"	"Opala"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"9"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"317"	"Ouro da Serra (Cardoso 3)"	"30"	"Obra concluída"	""	""	""	"12"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"191"	"Paranan (Conjunto 6)"	"16"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"324"	"Paz (São João C3)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"98"	"Pérola"	""	"Obra concluída"	""	""	""	"144"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"370"	"Pôr do Sol (Coronel Jorge Dário 7)"	"26"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"156"	"Por do Sol (Mangueiras)"	""	"Obra concluída"	""	""	""	"24"	"OP"	"PBH"	""	"2012"	"2021"	""
"120"	"Primavera"	""	"Obra concluída"	""	""	""	"144"	"OPH; PEAR -> Desabrigados"	"Pró-moradia"	""	"2009"	"2009"	""
"173"	"Quartzo Azul"	"39"	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"OGU"	""	"2013"	"2013"	""
"424"	"Recanto da Lagoa"	""	"Obra em andamento"	""	""	"160"	""	"MCMV"	""	""	""	""	""
"321"	"Recanto do Parque (São João F32-33)"	"29"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"348"	"Recanto São João (São João J19)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"64"	"Recanto Verde (R2)"	""	"Obra concluída"	"Obra em andamento"	""	""	"184"	"Drenurbs"	"BID"	""	"2011"	"2011"	""
"337"	"Recanto Verde (São João M25)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"26"	"Res. Andorinha - R. Arnaldo Bueno de Azevedo"	"10"	"Em estudo"	"Obra em andamento"	"44"	""	""	"MCMV"	""	""	""	""	"15"
"25"	"Res. João de Barro -R. Júlio Soares Santana"	"10"	"Em estudo"	"Obra em andamento"	"30"	""	""	"MCMV"	""	""	""	""	"15"
"17"	"Residencial Água Marinha"	"3"	"Obra concluída"	""	""	""	"340"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2015"	"2015"	"10"
"162"	"Residencial Alto Gutierrez 1 (AR21)"	"36"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2012"	"2013"	""
"393"	"Residencial Alto Gutierrez 2 (AR21)"	"36"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2012"	"2013"	""
"394"	"Residencial Alto Gutierrez 3 (AR21)"	"36"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2012"	"2013"	""
"395"	"Residencial Alto Gutierrez 4 (AR21)"	"36"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2012"	"2013"	""
"396"	"Residencial Alto Gutierrez 5 (AR21)"	"36"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2012"	"2013"	""
"132"	"Residencial Americana"	""	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2007"	"2007"	""
"264"	"Residencial Amor Perfeito (Residencial Amor Perfeito)"	"17"	"Obra concluída"	""	""	""	"60"	""	""	"2017"	"2016"	"2018"	""
"236"	"Residencial Angico"	"19"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2016"	"2016"	""
"418"	"Residencial Ap Ponto Esplendor"	""	"Obra concluída"	""	""	""	"30"	"MCMV"	""	""	"2019"	"2019"	"15"
"146"	"Residencial Apolônia"	""	"Obra concluída"	"Obra em andamento"	""	""	"16"	"OP"	"PBH"	""	"2009"	"2009"	""
"130"	"Residencial Argemiro Resende Costa"	""	"Obra concluída"	""	""	""	"64"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"234"	"Residencial Aroeira"	"19"	"Projeto concluído"	""	"24"	""	""	"Vila Viva"	""	""	""	""	""
"67"	"Residencial Azeredo Filho 1 (AR09)"	"32"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"379"	"Residencial Azeredo Filho 2 (AR09)"	"32"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"380"	"Residencial Azeredo Filho 3 (AR09)"	"32"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"381"	"Residencial Azeredo Filho 4 (AR09)"	"32"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"382"	"Residencial Azeredo Filho 5 (AR09)"	"32"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"73"	"Residencial Belém (Condomínio I)"	"15"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"72"	"Residencial Belém (Condomínio II)"	"15"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"71"	"Residencial Belém (Condomínio III)"	"15"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"205"	"Residencial Belmonte (Reassentamento Beira Linha/Minas Caixa)"	""	"Obra concluída"	""	""	""	"16"	"PEAR -> Obras"	"OGU; PAC Encostas"	""	"2016"	"2016"	""
"213"	"Residencial Boa Esperança (Reassentamento São João Batista)"	""	"Obra concluída"	""	""	""	"24"	"OP"	"PBH"	""	"2016"	"2019"	""
"259"	"Residencial Bromélia (Residencial Bromélia)"	"17"	"Obra concluída"	""	""	""	"20"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2016"	"2016"	""
"253"	"Residencial Buganvília"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2016"	""
"233"	"Residencial Buritizeiro"	"19"	"Projeto concluído"	""	"32"	""	""	"Vila Viva"	""	""	""	""	""
"216"	"Residencial Camões Quadra 32"	""	"Obra concluída"	""	""	""	"64"	"Vila Viva"	"Pró-moradia"	""	"2017"	"2017"	""
"227"	"Residencial Castanheira"	"19"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	""	""	"2020"	""	""
"43"	"Residencial Castanheiras"	"22"	"Em estudo"	"Obra em andamento"	"140"	""	""	"MCMV"	""	""	""	""	"15"
"112"	"Residencial Castanho Taques (Castanho Taques)"	"39"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"OGU"	""	"2009"	"2009"	""
"182"	"Residencial Cedro"	"19"	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2013"	"2013"	""
"235"	"Residencial Cerejeira"	"19"	"Projeto concluído"	""	"24"	""	""	"Vila Viva"	""	""	""	""	""
"11"	"Residencial Colibris I"	"8"	"Obra concluída"	""	""	""	"28"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2015"	"2015"	"10"
"12"	"Residencial Colibris II"	"8"	"Obra concluída"	""	""	""	"30"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2015"	"2015"	"10"
"41"	"Residencial Conquista"	""	"Obra em andamento"	"Obra em andamento"	"752"	""	""	"MCMV"	""	""	""	""	"20"
"68"	"Residencial das Oliveiras (AR16)"	""	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"65"	"Residencial Diamante 1 (AR03)"	"31"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"373"	"Residencial Diamante 2 (AR03)"	"31"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"374"	"Residencial Diamante 3 (AR03)"	"31"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"375"	"Residencial Diamante 4 (AR03)"	"31"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"376"	"Residencial Diamante 5 (AR03)"	"31"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"377"	"Residencial Diamante 6 (AR03)"	"31"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"378"	"Residencial Diamante 7 (AR03)"	"31"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"BNDES; PAC 1"	""	"2009"	"2010"	""
"168"	"Residencial Ebenézer (Área B)"	""	"Obra concluída"	""	""	""	"32"	"Intervenção Pública -> Nova Rodoviária"	"PBH"	""	"2013"	"2013"	""
"225"	"Residencial Embaúba"	"19"	"Projeto concluído"	""	"24"	""	""	"Vila Viva"	""	""	""	""	""
"30"	"Residencial Esplêndido"	"2"	"Obra concluída"	""	""	""	"300"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2013"	"2013"	"10"
"187"	"Residencial Fernandes (Barão Homem de Melo)"	""	"Obra concluída"	""	""	""	"8"	"OP"	"PBH"	""	"2014"	"2014"	""
"29"	"Residencial Figueira"	"2"	"Obra concluída"	""	""	""	"350"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2013"	"2013"	"10"
"300"	"Residencial Flamboyants"	"22"	"Em estudo"	""	"60"	""	""	"MCMV"	""	""	""	""	"15"
"248"	"Residencial Flor de Lis (Residencial Flor de Lis)"	"17"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"252"	"Residencial Flor de Lotus (Residencial Flor de Lotus)"	"17"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"247"	"Residencial Flores do Campo (Residencial Flores do Campo)"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"249"	"Residencial Gardênia (Residencial Gardênia)"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"250"	"Residencial Girassol (Residencial Girassol)"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"70"	"Residencial Grajaú (AR10)"	""	"Obra concluída"	""	""	""	"48"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"16"	"Residencial Granada"	"3"	"Obra concluída"	""	""	""	"440"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2015"	"2015"	"10"
"161"	"Residencial Gutierrez (AR20)"	""	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2012"	"2012"	""
"15"	"Residencial Hematita"	"3"	"Obra concluída"	""	""	""	"410"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2014"	"2014"	"10"
"31"	"Residencial Hibisco"	"2"	"Obra concluída"	""	""	""	"390"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2013"	"2013"	"10"
"258"	"Residencial Hortência (Residencial Hortência)"	"17"	"Obra concluída"	""	""	""	"20"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2016"	"2016"	""
"180"	"Residencial Ipê Amarelo (Conjunto 02)"	"19"	"Obra concluída"	"Obra em andamento"	""	""	"24"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2014"	"2014"	""
"245"	"Residencial Ipê Amarelo (Vila Estrela / Condomínio B)"	""	"Obra concluída"	""	""	""	"24"	"OP"	"PBH"	""	"2015"	"2015"	""
"179"	"Residencial Ipê Branco (Conjunto 01)"	"19"	"Obra concluída"	"Obra em andamento"	""	""	"24"	"Vila Viva"	"Crédito Solidário; PAC 1"	""	"2014"	"2014"	""
"181"	"Residencial Ipê Rosa"	"19"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"Crédito Solidário; PAC 1"	""	"2014"	"2014"	""
"138"	"Residencial Ipê Rosa 1 (AR08)"	"33"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"383"	"Residencial Ipê Rosa 2 (AR08)"	"33"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"384"	"Residencial Ipê Rosa 3 (AR08)"	"33"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"299"	"Residencial Ipês"	"22"	"Em estudo"	"Obra em andamento"	"120"	""	""	"MCMV"	""	""	""	""	"15"
"195"	"Residencial Íris (Residencial Iris)"	"17"	"Obra concluída"	""	""	""	"68"	"Vila Viva"	"PAC 1; Pró-moradia"	"2017"	"2017"	"2018"	""
"19"	"Residencial Jade"	"3"	"Obra concluída"	""	""	""	"280"	"MCMV"	"FGTS; Programa Minha Casa, Minha Vida I"	""	"2015"	"2015"	"20"
"14"	"Residencial Jaqueline"	""	"Obra concluída"	""	""	""	"135"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2014"	"2014"	"10"
"63"	"Residencial Jardim Castanheira (Castanheira)"	""	"Obra concluída"	""	""	""	"128"	"Drenurbs"	"BID"	""	"2010"	"2010"	""
"201"	"Residencial Jardim da Mata I (Granja VIII)"	"42"	"Obra concluída"	"Obra em andamento"	""	""	"72"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2017"	""
"409"	"Residencial Jardim da Mata II (Granja VIII)"	"42"	"Obra concluída"	"Obra em andamento"	""	""	"72"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2017"	""
"410"	"Residencial Jardim da Mata III (Granja VIII)"	"42"	"Obra concluída"	"Obra em andamento"	""	""	"54"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2017"	""
"411"	"Residencial Jardim da Mata IV (Granja VIII)"	"42"	"Obra concluída"	"Obra em andamento"	""	""	"44"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2017"	""
"257"	"Residencial Jasmim (Residencial Jasmim)"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2016"	"2016"	""
"224"	"Residencial Jatobá (Conjunto 04)"	"19"	"Projeto concluído"	""	"16"	""	""	"Vila Viva"	""	""	""	""	""
"230"	"Residencial Jequitibá"	"19"	"Projeto concluído"	""	"16"	""	""	"Vila Viva"	""	""	""	""	""
"158"	"Residencial Leonina 1 (AR05)"	"34"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"385"	"Residencial Leonina 2 (AR05)"	"34"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"386"	"Residencial Leonina 3 (AR05)"	"34"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"251"	"Residencial Lírios do Campo (Residencial Lírios do Campo)"	"17"	"Obra concluída"	""	""	""	"56"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"304"	"Residencial Magnólia (Residencial Magnólia)"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2016"	"2016"	""
"24"	"Residencial Manacás-Cond. Flor de Manacá(144) e Cond. Jd. Manacá(116)"	""	"Em estudo"	"Obra em andamento"	"208"	""	""	"MCMV"	""	""	""	""	""
"232"	"Residencial Mangabeiras"	"19"	"Projeto concluído"	""	"48"	""	""	"Vila Viva"	""	""	""	""	""
"166"	"Residencial Mangueiras (Conjunto 03)"	"19"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"7"	"Residencial Mirante Boulevard"	""	"Obra concluída"	""	""	""	"274"	"MCMV"	"FGTS; Programa Minha Casa, Minha Vida I"	""	"2014"	"2014"	"20"
"226"	"Residencial Mogno"	"19"	"Projeto concluído"	""	"16"	""	""	"Vila Viva"	""	""	""	""	""
"102"	"Residencial Morada Nova"	""	"Obra concluída"	""	""	""	"8"	"PEAR -> Obras"	"Habitar Brasil"	""	"2006"	"2006"	""
"178"	"Residencial Nova Canaã (Área F)"	""	"Obra concluída"	""	""	""	"56"	"Intervenção Pública -> Nova Rodoviária"	"PBH"	""	"2014"	"2014"	""
"101"	"Residencial Nova Esperança"	""	"Obra concluída"	""	""	""	"8"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2007"	"2007"	""
"167"	"Residencial Nova Esperança (Área D)"	""	"Obra concluída"	""	""	""	"56"	"Intervenção Pública -> Nova Rodoviária"	"PBH"	""	"2013"	"2013"	""
"99"	"Residencial Novo Horizonte 2"	"21"	"Obra concluída"	""	""	""	"8"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2005"	"2005"	""
"292"	"Residencial Novo Horizonte 3"	"21"	"Obra concluída"	""	""	""	"8"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2005"	"2005"	""
"293"	"Residencial Novo Horizonte 4"	"21"	"Obra concluída"	""	""	""	"8"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2005"	"2005"	""
"294"	"Residencial Novo Horizonte 5"	"21"	"Obra concluída"	""	""	""	"8"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2005"	"2005"	""
"202"	"Residencial Olaria (Granja VII)"	""	"Obra em andamento"	""	"72"	""	"36"	"Vila Viva"	"OGU; PAC 1"	"2018"	"2016"	""	""
"28"	"Residencial Oliveira"	"2"	"Obra concluída"	""	""	""	"480"	"MCMV"	"FGTS; Programa Minha Casa, Minha Vida I"	""	"2013"	"2013"	"20"
"5"	"Residencial Orgulho de Minas II"	""	"Obra concluída"	""	""	""	"240"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2014"	"2014"	"10"
"246"	"Residencial Orquídea (Residencial Orquídea)"	"17"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"231"	"Residencial Paineira"	"19"	"Cancelado"	""	""	""	""	"Vila Viva"	""	""	""	""	""
"298"	"Residencial Palmeiras"	"22"	"Em estudo"	"Obra em andamento"	"160"	""	""	"MCMV"	""	""	""	""	"15"
"241"	"Residencial Palmeiras"	"19"	"Obra em andamento"	""	""	"104"	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2016"	""	""
"10"	"Residencial Parque do Jatobá"	""	"Obra concluída"	""	""	""	"76"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2015"	"2015"	"10"
"13"	"Residencial Parque dos Diamantes"	""	"Obra concluída"	""	""	""	"80"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2014"	"2014"	"10"
"42"	"Residencial Parque dos Solimões"	""	"Obra concluída"	""	""	""	"180"	"MCMV"	""	"2018"	"2019"	"2019"	"15"
"22"	"Residencial Pedra Bonita"	""	"Em estudo"	"Obra em andamento"	"58"	""	""	"MCMV"	""	""	""	""	"15"
"110"	"Residencial Pedro Lessa"	""	"Obra concluída"	""	""	""	"56"	"Vila Viva"	"Saneamento Para Todos"	""	"2008"	"2012"	""
"6"	"Residencial Pinheiros"	""	"Obra concluída"	""	""	""	"300"	"MCMV"	"Programa Minha Casa, Minha Vida I"	""	"2016"	"2016"	""
"74"	"Residencial Ponta Porã I"	"11"	"Obra concluída"	""	""	""	"16"	"OP"	"PBH"	""	"2007"	"2007"	""
"75"	"Residencial Ponta Porã II"	"11"	"Obra concluída"	""	""	""	"8"	"OP"	"PBH"	""	"2009"	"2009"	""
"76"	"Residencial Ponta Porã III"	"11"	"Obra concluída"	""	""	""	"16"	"OP"	"PBH"	""	"2009"	"2009"	""
